year,date,type,registration,operator,fatalities,location,country,category,damage,season
1919,1919-08-02,Caproni Ca.48,,Caproni,14,Verona,Italy,Accident,hull-loss,Summer
1919,1919-08-11,Felixstowe Fury,N123,RAF,1,near Felixtowe RNAS,U.K.,Accident,hull-loss,Summer
1920,1920-02-23,Handley Page O/7,G-EANV,Handley Page Transport,0,"Acadia Siding, C...",South Africa,Accident,hull-loss,Winter
1920,1920-02-25,Handley Page O/400,G-EAMC,Handley Page Transport,0,near El Shereik,Sudan,Accident,hull-loss,Winter
1920,1920-06-30,Handley Page O/400,G-EAKE,Handley Page Transport,0,ÃstanÃ¥,Sweden,Accident,hull-loss,Summer
1920,1920-12-14,Handley Page O/400,G-EAMA,Handley Page Transport,4,Golders Green,U.K.,Accident,hull-loss,Winter
1921,1921-01-15,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,Other Occurrence,hull-loss,Winter
1921,1921-03-02,Handley Page O/7,G-IAAC,HP Indo-Burmese Transport,0,Meerut,India,Other Occurrence,hull-loss,Spring
1921,1921-03-04,Caproni Ca.60 Noviplano,,Caproni,0,Lago Maggiore,Italy,Accident,hull-loss,Spring
1921,1921-08-26,Farman F.60 Goliath,O-BLAN,SNETA,2,near Calais [The Engl...,France,Accident,hull-loss,Summer
1921,1921-09-27,Farman F.60 Goliath,O-BRUN,SNETA,0,Evere Airfield,Belgium,Other Occurrence,hull-loss,Fall
1921,1921-09-27,Farman F.60 Goliath,O-BLEU,SNETA,0,Evere Airfield,Belgium,Other Occurrence,hull-loss,Fall
1922,1922-01-22,Handley Page O/10,G-EATN,Handley Page Transport,0,near Senlis,France,Accident,hull-loss,Winter
1922,1922-03-31,Handley Page O/7,,Chinese Government,14,near Beijing-Nanyuan ...,China,Accident,hull-loss,Spring
1922,1922-04-07,Farman F.60 Goliath,F-GEAD,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,Accident,hull-loss,Spring
1923,1923-01-13,Aeromarine 75,,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,Accident,hull-loss,Winter
1923,1923-05-14,Farman F.60 Goliath,F-AEBY,Air Union,6,"Monsures, Somme",France,Accident,hull-loss,Spring
1923,1923-06-25,Farman F.60 Goliath,F-AEDL,Air Union,0,near Ãtaples,France,Accident,hull-loss,Summer
1923,1923-07-10,Handley Page W.8,G-EAPJ,Handley Page Transport,0,Poix,France,Accident,hull-loss,Summer
1923,1923-07-15,Farman F.60 Goliath,F-AEEE,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,Accident,hull-loss,Summer
1923,1923-08-27,Farman F.60 Goliath,F-AECB,Air Union,1,"East Malling, Kent",U.K.,Accident,hull-loss,Summer
1923,,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,Other Occurrence,hull-loss,
1924,1924-08-06,Farman F.60 Goliath,F-ADDT,Air Union,0,"Golden Green, ne...",U.K.,Accident,repairable damage,Summer
1924,1924-08-24,Farman F.61 Goliath,F-ADFP,SGTA,0,near Amsterdam-Schiph...,Netherlands,Accident,hull-loss,Summer
1925,1925-10-16,Farman F.60 Goliath,F-HMFU,Air Union,3,"Wadhurst, East S...",U.K.,Accident,hull-loss,Fall
1925,1925-11-14,Farman F.60 Goliath,F-FHMY,Air Union,0,near Boulogne [Englis...,France,Accident,repairable damage,Fall
1926,1926-08-18,BlÃ©riot 155,F-AIEB,Air Union,4,"Hurst, near Ashf...",U.K.,Accident,hull-loss,Summer
1926,1926-10-02,BlÃ©riot 155,F-AICQ,Air Union,7,"Leigh, Kent",U.K.,Accident,hull-loss,Fall
1926,1926-10-21,Handley Page W.10,G-EBMS,Imperial Airways,0,English Channel,U.K.,Accident,hull-loss,Fall
1927,1927-05-05,Farman F.61 Goliath,F-ADFN,SGTA,2,Atlantic Ocean,Atlantic Ocean,Accident,hull-loss,Spring
1927,1927-08-22,Fokker F.VIII,H-NADU,KLM,1,"St. Julians, Sev...",U.K.,Accident,hull-loss,Summer
1928,1928-02-15,Handley Page W.8b,G-EBBG,Imperial Airways,0,near Abbeville,France,Accident,hull-loss,Winter
1928,1928-03-11,Farman F.60 Goliath,F-AEFC,Air Union,2,"near Folkestone, Kent...",U.K.,Accident,hull-loss,Spring
1928,1928-04-11,Fokker F.VIII,H-NAEE,KLM,0,Nigtevecht,Netherlands,Accident,hull-loss,Spring
1928,1928-04-19,Junkers G.24,D-946,Deutsche Lufthansa,0,Spaichingen,Germany,Accident,hull-loss,Spring
